slot_filler_id,score_pop,score_mainstream,score_niche,model_tier,source_prediction_count
201,0.004268,0.076415,0.919317,niche,4
202,0.002504,0.012813,0.984683,niche,4
203,0.001126,0.002708,0.996165,niche,4
204,0.004663,0.480145,0.515192,niche,2
205,0.000476,0.009147,0.990378,niche,1
206,0.00121,0.518162,0.480628,mainstream,2
207,0.346658,0.180413,0.472929,niche,11
208,0.323664,0.270744,0.405591,niche,4
209,0.018451,0.090216,0.891332,niche,3
210,0.02455,0.034203,0.941246,niche,2
211,0.000926,0.116885,0.882189,niche,2
212,0.000926,0.116885,0.882189,niche,2
213,0.000464,0.002973,0.996563,niche,1
214,0.000464,0.002973,0.996563,niche,1
215,0.09713,0.052131,0.85074,niche,5
216,0.102716,0.682009,0.215275,mainstream,7
217,0.003573,0.698923,0.297505,mainstream,2
218,5.6e-05,0.00356,0.996384,niche,2
219,5.6e-05,0.00356,0.996384,niche,2
220,0.028341,0.025064,0.946594,niche,2
221,0.00059,0.005312,0.994097,niche,1
222,0.000457,0.048234,0.951309,niche,3
223,4e-05,0.001121,0.998839,niche,1
224,0.001524,0.746628,0.251848,mainstream,1
225,0.001524,0.746628,0.251848,mainstream,1
226,0.005005,0.141814,0.853181,niche,17
227,0.008446,0.005799,0.985755,niche,1
228,0.033245,0.286278,0.680477,niche,6
229,0.001884,0.090403,0.907713,niche,11
230,3.4e-05,0.01104,0.988927,niche,2
231,7e-06,0.000223,0.99977,niche,1
232,0.00036,0.001074,0.998566,niche,1
233,0.008122,0.017542,0.974335,niche,2
234,0.004568,0.014834,0.980598,niche,1
235,0.00539,0.204203,0.790408,niche,4
236,0.001471,0.002847,0.995681,niche,2
237,0.001471,0.002847,0.995681,niche,2
238,0.022477,0.937701,0.039822,mainstream,3
239,0.022477,0.937701,0.039822,mainstream,3
240,0.009699,0.156767,0.833534,niche,12
241,0.005203,0.024297,0.9705,niche,3
242,0.002921,0.028035,0.969044,niche,3
243,0.256797,0.118887,0.624316,niche,8
244,0.009878,0.085843,0.904279,niche,3
245,0.021368,0.399078,0.579554,niche,8
246,0.000321,0.004902,0.994777,niche,1
247,0.000321,0.004902,0.994777,niche,1
248,0.011319,0.332461,0.65622,niche,5
249,0.261286,0.081575,0.657139,niche,3
250,0.005947,0.276077,0.717976,niche,23
251,0.007457,0.262427,0.730116,niche,5
252,0.005354,0.052255,0.94239,niche,11
253,0.00384,0.004789,0.99137,niche,2
254,0.014723,0.0495,0.935777,niche,14
255,0.011092,0.393325,0.595583,niche,2
256,0.006753,0.005447,0.9878,niche,1
257,0.912389,0.015179,0.072432,pop,1
258,0.912389,0.015179,0.072432,pop,1
259,0.912389,0.015179,0.072432,pop,1
260,0.387269,0.419471,0.19326,mainstream,63
261,0.174831,0.419866,0.405303,mainstream,24
262,0.006935,0.033215,0.95985,niche,5
263,0.019228,0.06276,0.918012,niche,12
264,0.001404,0.986019,0.012577,mainstream,8
265,0.005123,0.865004,0.129873,mainstream,11
266,0.012054,0.236695,0.751251,niche,11
267,0.000469,0.000839,0.998692,niche,1
268,0.000385,0.019773,0.979842,niche,8
269,0.00572,0.018517,0.975763,niche,1
270,0.00572,0.018517,0.975763,niche,1
271,0.003841,0.042216,0.953944,niche,2
272,9.4e-05,0.001054,0.998852,niche,1
273,9.4e-05,0.001054,0.998852,niche,1
274,0.000517,0.011355,0.988128,niche,1
275,0.002065,0.004564,0.993371,niche,6
276,0.337887,0.133944,0.528169,niche,8
277,0.310303,0.040497,0.6492,niche,3
278,7.3e-05,0.001576,0.99835,niche,2
279,7.3e-05,0.001576,0.99835,niche,2
280,1.1e-05,0.000356,0.999633,niche,2
281,1.1e-05,0.000356,0.999633,niche,2
282,1.1e-05,0.000356,0.999633,niche,2
283,0.024258,0.105024,0.870718,niche,2
284,0.04814,0.200363,0.751497,niche,1
285,0.009738,0.174856,0.815406,niche,4
286,0.875881,0.012717,0.111403,pop,1
287,0.255802,0.043278,0.700919,niche,8
288,0.470649,0.16773,0.361622,pop,2
289,0.00576,0.472585,0.521655,niche,4
290,0.071786,0.19025,0.737965,niche,2
291,0.659868,0.056656,0.283476,pop,3
292,9.7e-05,0.020509,0.979393,niche,4
293,5.6e-05,0.007345,0.992599,niche,3
294,1.4e-05,0.000194,0.999791,niche,1
295,0.000641,0.043532,0.955826,niche,2
296,1.4e-05,0.000194,0.999791,niche,1
297,0.121195,0.263443,0.615362,niche,10
298,0.008404,0.18879,0.802806,niche,21
299,1.8e-05,0.001297,0.998685,niche,1
300,1.8e-05,0.001297,0.998685,niche,1
301,1.8e-05,0.001297,0.998685,niche,1
302,0.01868,0.36616,0.615159,niche,20
303,0.000531,0.012662,0.986807,niche,3
304,0.174647,0.273591,0.551762,niche,33
305,6e-05,0.007586,0.992355,niche,2
306,6e-05,0.007586,0.992355,niche,2
307,0.001064,0.099989,0.898947,niche,2
308,0.000975,0.047487,0.951538,niche,5
309,1.1e-05,6.9e-05,0.999919,niche,1
310,1.1e-05,6.9e-05,0.999919,niche,1
311,0.009797,0.670396,0.319807,mainstream,24
312,0.044139,0.340369,0.615492,niche,8
313,0.005435,0.291537,0.703027,niche,5
314,0.051657,0.325182,0.623162,niche,6
315,0.076174,0.112023,0.811803,niche,8
316,0.040482,0.153625,0.805893,niche,4
317,9.7e-05,0.067763,0.932141,niche,2
318,0.022168,0.403827,0.574005,niche,3
319,0.022168,0.403827,0.574005,niche,3
320,0.400271,0.331436,0.268293,pop,14
321,0.025751,0.445208,0.52904,niche,3
322,0.01565,0.235312,0.749038,niche,6
323,0.003933,0.167841,0.828226,niche,2
324,0.003933,0.167841,0.828226,niche,2
325,0.002347,0.018109,0.979543,niche,1
326,0.045015,0.378234,0.576751,niche,28
327,0.003762,0.123636,0.872602,niche,10
328,0.052592,0.065246,0.882162,niche,1
329,0.052592,0.065246,0.882162,niche,1
330,0.011355,0.040083,0.948563,niche,2
331,0.004411,0.017305,0.978285,niche,3
332,0.002734,0.011789,0.985476,niche,2
333,0.027827,0.888787,0.083386,mainstream,3
334,0.21332,0.548392,0.238289,mainstream,7
335,0.011366,0.028603,0.960031,niche,2
336,0.251292,0.051119,0.697589,niche,1
337,4.2e-05,0.002344,0.997613,niche,2
338,0.088913,0.44682,0.464267,niche,12
339,0.135735,0.312148,0.552117,niche,5
340,0.013073,0.198766,0.788161,niche,6
341,0.003058,0.054064,0.942878,niche,2
342,0.000609,0.004164,0.995226,niche,1
343,0.00305,0.010503,0.986446,niche,2
344,0.073746,0.528984,0.397271,mainstream,24
345,0.002371,0.231036,0.766595,niche,2
346,0.002371,0.231036,0.766595,niche,2
347,0.000514,0.082394,0.917092,niche,1
348,0.000514,0.082394,0.917092,niche,1
349,0.006216,0.25064,0.743144,niche,10
350,0.118481,0.056311,0.825209,niche,10
351,0.000655,0.007129,0.992216,niche,1
352,0.000832,0.065131,0.934036,niche,5
353,0.003726,0.120162,0.876112,niche,2
354,0.003726,0.120162,0.876112,niche,2
