slot_type,tier,filler,display_filler,probability,log_probability,soft_count,prior_count,evidence_count,source_count,anchored_source_count,inferred_source_count,anchored_soft_count,inferred_soft_count,teacher_confidence_mean,frequency,popularity_score,semantic_smoothing_mass,calibration_temperature,artifact_version
list_item,mainstream,art,Art,0.00282420201324,-5.86952942748,16.0817832645,0.5,16.5817832645,51,2,49,1.52,14.5617832645,0.90375,51,0.267968226904,0,1,tier_slot_filler_distribution_v1
list_item,niche,art,Art,0.00263428277457,-5.93914432585,28.9153433541,0.5,29.4153433541,51,6,45,5.71,23.2053433541,0.90375,51,0.267968226904,0,1,tier_slot_filler_distribution_v1
list_item,pop,cicero,Cicero,0.000158300725091,-8.7510140106,0.134916690252,0.5,0.634916690252,2,0,2,0,0.134916690252,0.98,2,,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,cicero,Cicero,0.000139209722397,-8.8795289677,0.317344309748,0.5,0.817344309748,2,0,2,0,0.317344309748,0.98,2,,0,1,tier_slot_filler_distribution_v1
list_item,niche,cicero,Cicero,0.000183384688378,-8.60392448921,1.547739,0.5,2.047739,2,1,1,0.98,0.567739,0.98,2,,0,1,tier_slot_filler_distribution_v1
list_item,pop,catullus,Catullus,0.00012547799866,-8.98338012424,0.00327044025157,0.5,0.503270440252,1,0,1,0,0.00327044025157,0.98,1,,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,catullus,Catullus,8.80091507445e-05,-9.33806976316,0.0167295597484,0.5,0.516729559748,1,0,1,0,0.0167295597484,0.98,1,,0,1,tier_slot_filler_distribution_v1
list_item,niche,catullus,Catullus,0.00013254098242,-8.92861865908,0.98,0.5,1.48,1,1,0,0.98,0,0.98,1,,0,1,tier_slot_filler_distribution_v1
list_item,pop,trash taste,trash taste,0.000145682610023,-8.83408020657,0.084307624174,0.5,0.584307624174,1,0,1,0,0.084307624174,,1,,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,trash taste,trash taste,0.00013122959261,-8.93856215346,0.270490443796,0.5,0.770490443796,1,0,1,0,0.270490443796,,1,,0,1,tier_slot_filler_distribution_v1
list_item,niche,trash taste,trash taste,0.000102558235906,-9.18507976555,0.64520193203,0.5,1.14520193203,1,0,1,0,0.64520193203,,1,,0,1,tier_slot_filler_distribution_v1
list_item,pop,popular power,popular power,0.000145682610023,-8.83408020657,0.084307624174,0.5,0.584307624174,1,0,1,0,0.084307624174,,1,,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,popular power,popular power,0.00013122959261,-8.93856215346,0.270490443796,0.5,0.770490443796,1,0,1,0,0.270490443796,,1,,0,1,tier_slot_filler_distribution_v1
list_item,niche,popular power,popular power,0.000102558235906,-9.18507976555,0.64520193203,0.5,1.14520193203,1,0,1,0,0.64520193203,,1,,0,1,tier_slot_filler_distribution_v1
list_item,pop,extreme capitalism,extreme capitalism,0.000126763877519,-8.97318443416,0.00842787682334,0.5,0.508427876823,2,0,2,0,0.00842787682334,0.9,2,0.267143989611,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,extreme capitalism,extreme capitalism,0.000391734985726,-7.84492500362,1.8,0.5,2.3,2,2,0,1.8,0,0.9,2,0.267143989611,0,1,tier_slot_filler_distribution_v1
list_item,niche,extreme capitalism,extreme capitalism,6.19335463648e-05,-9.68944858057,0.191572123177,0.5,0.691572123177,2,0,2,0,0.191572123177,0.9,2,0.267143989611,0,1,tier_slot_filler_distribution_v1
list_item,pop,market populism,market populism,0.000126763877519,-8.97318443416,0.00842787682334,0.5,0.508427876823,2,0,2,0,0.00842787682334,0.9,2,0.267143989611,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,market populism,market populism,0.000391734985726,-7.84492500362,1.8,0.5,2.3,2,2,0,1.8,0,0.9,2,0.267143989611,0,1,tier_slot_filler_distribution_v1
list_item,niche,market populism,market populism,6.19335463648e-05,-9.68944858057,0.191572123177,0.5,0.691572123177,2,0,2,0,0.191572123177,0.9,2,0.267143989611,0,1,tier_slot_filler_distribution_v1
list_item,pop,institutions,Institutions,0.000523577506858,-7.55482548349,1.5999783643,0.5,2.0999783643,23,0,23,0,1.5999783643,0.972727272727,23,0.202851669496,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,institutions,Institutions,0.000638120225091,-7.35698385179,3.24660566757,0.5,3.74660566757,23,0,23,0,3.24660566757,0.972727272727,23,0.202851669496,0,1,tier_slot_filler_distribution_v1
list_item,niche,institutions,Institutions,0.00167050140399,-6.39463145571,18.1534159681,0.5,18.6534159681,23,11,12,10.7,7.45341596812,0.972727272727,23,0.202851669496,0,1,tier_slot_filler_distribution_v1
list_item,pop,strategic restraint,Strategic Restraint,0.000173899718066,-8.65703175785,0.197481539435,0.5,0.697481539435,2,0,2,0,0.197481539435,0.97,2,0.257728465264,0,1,tier_slot_filler_distribution_v1
list_item,mainstream,strategic restraint,Strategic Restraint,0.000164913293806,-8.71009071427,0.468258107074,0.5,0.968258107074,2,0,2,0,0.468258107074,0.97,2,0.257728465264,0,1,tier_slot_filler_distribution_v1
list_item,niche,strategic restraint,Strategic Restraint,0.000164266668422,-8.71401942372,1.33426035349,0.5,1.83426035349,2,1,1,0.97,0.36426035349,0.97,2,0.257728465264,0,1,tier_slot_filler_distribution_v1
list_item,pop,knowledge,Knowledge,0.00039387423519,-7.83947889965,1.07976108851,0.5,1.57976108851,14,0,14,0,1.07976108851,0.9775,14,0.227719647944,0,1,tier_slot_filler_distribution_v1
